question,answer
Mục tiêu chính của Luật Giáo dục đại học liên quan đến giáo dục quốc phòng trong các trường nghề và đại học là gì?,"Luật Giáo dục đại học nhằm xây dựng khung cho việc giảng dạy và đánh giá môn học giáo dục quốc phòng (GDQP&AN) trong các cơ sở giáo dục nghề nghiệp và đại học, nhấn mạnh tầm quan trọng của GDQP&AN trong việc xây dựng nền quốc phòng và an ninh toàn diện.}"
Những yêu cầu về trình độ của giáo viên GDQP&AN theo Nghị định số 13/2014/NĐ-CP là gì?,"Giáo viên GDQP&AN phải có trình độ chuẩn theo quy định tại Điều 6, đồng thời các cơ sở giáo dục phải xây dựng kế hoạch đào tạo, bồi dưỡng để giáo viên cập nhật kiến thức về quốc phòng và an ninh, cũng như phương pháp dạy học phù hợp với yêu cầu giáo dục ở từng trình độ đào tạo.}"
Điều kiện để cấp chứng chỉ GDQP&AN là gì?,Sinh viên có điểm trung bình chung môn học đạt từ 5 điểm trở lên (theo thang điểm 10) được cấp chứng chỉ GDQP&AN.}
Ai là người chịu trách nhiệm về quyết định liên quan đến quy định học bổng tại Đại học Bách khoa Hà Nội?,Người chịu trách nhiệm về quyết định liên quan đến quy định học bổng tại Đại học Bách khoa Hà Nội là PGS.TS. Nguyễn Phong Điền.}
Học bổng tại ĐHBK Hà Nội được cấp như thế nào?,"Học bổng tại ĐHBK Hà Nội được cấp dựa trên thành tích học tập và rèn luyện của sinh viên trong học kỳ trước. Có ba loại học bổng: loại khá (C), loại giỏi (B), và loại xuất sắc (A), với các tiêu chuẩn GPA và điểm rèn luyện khác nhau.}"
Mục đích chính của học bổng Trần Đại Nghĩa tại Đại học Bách khoa Hà Nội là gì?,"Mục đích chính của học bổng Trần Đại Nghĩa là đảm bảo trách nhiệm của ĐHBK Hà Nội trong đào tạo nguồn nhân lực chất lượng cao, hỗ trợ sinh viên có hoàn cảnh khó khăn hoặc gặp rủi ro đột xuất, và khuyến khích các học sinh xuất sắc nhập học tại ĐHBK Hà Nội.}"
Ai là đối tượng được miễn học phí cho sinh viên là người dân tộc thiểu số?,Sinh viên là người dân tộc thiểu số có cha hoặc mẹ hoặc cả cha và mẹ hoặc ông bà thuộc hộ nghèo và hộ cận nghèo được miễn học phí.}
Đại học Bách khoa Hà Nội có những quy định gì về miễn,"Việc miễn, giảm học phí tại Đại học Bách khoa Hà Nội được thực hiện trong suốt thời gian sinh viên học tập, trừ trường hợp có thay đổi về lý do miễn hoặc giảm học phí. Các học phần được miễn, giảm học phí là học phần lần thứ nhất thuộc chương trình đào tạo chuẩn. Tuy nhiên, các học phần hợp tác ký hè, học lại, và ngoài chương trình đào tạo chuẩn không được miễn, giảm học phí. Đối tượng không được miễn, giảm học phí bao gồm sinh viên đang hưởng lương, sinh viên đã từng học đại học và được hưởng chế độ miễn, giảm học phí tại cơ sở giáo dục khác, và sinh viên học chuyển tiếp từ chương trình đào tạo cử nhân liên kết.}"
Kính gửi ai trong đơn đề nghị miễn giảm học phí tại Đại học Bách khoa Hà Nội?,Kính gửi Giám đốc Đại học Bách khoa Hà Nội.}
ĐHBK Hà Nội quan trọng trong việc tổ chức các kỳ thi Olympic và đổi mới sáng tạo vì sao?,"ĐHBK Hà Nội đóng vai trò quan trọng trong việc tổ chức các kỳ thi Olympic và đổi mới sáng tạo nhằm khuyến khích sự sáng tạo, tích cực trong hoạt động giảng dạy, học tập và nghiên cứu khoa học.}"
